hidden_size,game,opponent,seed,geometric_states,lstar_states,minimized_states,fidelity
16,prisoners-dilemma,0.1,42,16,16,16,1.0
16,prisoners-dilemma,0.3,42,16,16,13,1.0
16,prisoners-dilemma,0.5,42,16,16,15,1.0
16,prisoners-dilemma,0.7,42,16,16,15,1.0
16,prisoners-dilemma,0.9,42,16,16,14,1.0
16,prisoners-dilemma,0.1,123,16,16,15,1.0
16,prisoners-dilemma,0.3,123,16,16,15,0.3017171717171717
16,prisoners-dilemma,0.5,123,16,16,16,1.0
16,prisoners-dilemma,0.7,123,16,16,10,1.0
16,prisoners-dilemma,0.9,123,16,16,16,1.0
16,stag-hunt,0.1,42,16,16,16,1.0
16,stag-hunt,0.3,42,16,16,14,1.0
16,stag-hunt,0.5,42,16,16,14,1.0
16,stag-hunt,0.7,42,16,16,15,1.0
16,stag-hunt,0.9,42,16,16,14,1.0
16,stag-hunt,0.1,123,16,16,16,1.0
16,stag-hunt,0.3,123,16,16,15,0.29535353535353537
16,stag-hunt,0.5,123,16,16,15,1.0
16,stag-hunt,0.7,123,16,16,16,0.704949494949495
16,stag-hunt,0.9,123,16,16,16,0.09676767676767677
16,stag-hunt,0.1,456,16,16,14,1.0
16,stag-hunt,0.3,456,16,16,15,1.0
16,stag-hunt,0.5,456,16,16,15,0.5075757575757576
16,stag-hunt,0.7,456,16,16,16,1.0
16,stag-hunt,0.9,456,16,16,14,1.0
16,stag-hunt,0.1,789,16,16,16,1.0
16,stag-hunt,0.3,789,16,16,14,1.0
16,stag-hunt,0.5,789,16,16,16,1.0
16,stag-hunt,0.7,789,16,16,15,1.0
16,stag-hunt,0.9,789,16,16,15,1.0
16,stag-hunt,0.1,1011,16,16,16,1.0
16,stag-hunt,0.3,1011,16,16,15,1.0
16,stag-hunt,0.5,1011,16,16,12,1.0
16,stag-hunt,0.7,1011,16,16,15,1.0
16,stag-hunt,0.9,1011,16,16,13,1.0
16,stag-hunt,0.1,1213,16,16,16,1.0
16,stag-hunt,0.3,1213,16,16,16,0.7011111111111111
16,stag-hunt,0.5,1213,16,16,16,0.4995959595959596
16,stag-hunt,0.7,1213,16,16,9,1.0
16,stag-hunt,0.9,1213,16,16,16,1.0
16,stag-hunt,0.1,1415,16,16,16,1.0
16,stag-hunt,0.3,1415,16,16,12,1.0
16,stag-hunt,0.5,1415,16,16,16,0.48828282828282826
16,stag-hunt,0.7,1415,16,16,16,1.0
16,stag-hunt,0.9,1415,16,16,14,1.0
16,stag-hunt,0.1,1617,16,16,14,1.0
16,stag-hunt,0.3,1617,16,16,10,1.0
16,stag-hunt,0.5,1617,16,16,16,0.49272727272727274
16,stag-hunt,0.7,1617,16,16,16,1.0
16,stag-hunt,0.9,1617,16,16,15,1.0
16,stag-hunt,0.1,1819,16,16,16,1.0
16,stag-hunt,0.3,1819,16,16,12,1.0
16,stag-hunt,0.5,1819,16,16,14,1.0
16,stag-hunt,0.7,1819,16,16,8,1.0
16,stag-hunt,0.9,1819,16,16,16,0.8951515151515151
16,stag-hunt,0.1,2021,16,16,16,1.0
16,stag-hunt,0.3,2021,16,16,16,1.0
16,stag-hunt,0.5,2021,16,16,14,1.0
16,stag-hunt,0.7,2021,16,16,13,1.0
16,stag-hunt,0.9,2021,16,16,16,1.0
16,prisoners-dilemma,0.1,456,16,16,15,1.0
16,prisoners-dilemma,0.3,456,16,16,16,1.0
16,prisoners-dilemma,0.5,456,16,16,16,1.0
16,prisoners-dilemma,0.7,456,16,16,16,1.0
16,prisoners-dilemma,0.9,456,16,16,15,1.0
16,hawk-dove,0.1,42,16,16,16,0.8975757575757576
16,hawk-dove,0.3,42,16,16,16,1.0
