game,opponent,mean_activation,std_activation,sparsity,max_activation
prisoners-dilemma,0.1,-0.12309207,0.7822364,0.046875,0.99897987
prisoners-dilemma,0.3,-0.13723436,0.792666,0.03125,0.9996149
prisoners-dilemma,0.5,-0.11477198,0.75294614,0.0859375,0.9993501
prisoners-dilemma,0.7,-0.08024773,0.65909505,0.0703125,0.9942341
prisoners-dilemma,0.9,-0.10793792,0.70893455,0.0390625,0.99886674
hawk-dove,0.1,-0.05576366,0.90289176,0.015625,0.9997981
hawk-dove,0.3,-0.051749013,0.7469141,0.109375,0.9996327
hawk-dove,0.5,-0.059634507,0.5565437,0.15625,0.9950178
hawk-dove,0.7,-0.07411944,0.5307603,0.140625,0.98155916
hawk-dove,0.9,-0.20862302,0.70010823,0.0703125,0.99730796
stag-hunt,0.1,-0.16981533,0.7040402,0.0703125,0.99731064
stag-hunt,0.3,-0.096401714,0.5791989,0.140625,0.98625344
stag-hunt,0.5,-0.06704686,0.47209436,0.2109375,0.98886317
stag-hunt,0.7,-0.08127419,0.80541617,0.078125,0.9967418
stag-hunt,0.9,-0.08168957,0.84382033,0.0703125,0.99840075
