game,opponent,total_params,mean_weight,std_weight,median_weight,max_weight,sparsity_0.001,sparsity_0.01,sparsity_0.1,effective_params_90,effective_params_95,compression_ratio_90,compression_ratio_95
prisoners-dilemma,0.1,290972,-0.00057326123,0.065181606,0.04036638,1.3640736,0.01385012990940709,0.1316449692753942,0.9210955005979957,120711,153835,2.4104845457331976,1.8914551304969611
prisoners-dilemma,0.3,290972,-0.0008324078,0.06318208,0.03997185,1.1408396,0.013795141800585624,0.13210205792997265,0.9284982747480858,122926,155682,2.3670500951792137,1.8690150434860806
prisoners-dilemma,0.5,290972,-0.0006047993,0.06283045,0.03983,1.1228508,0.014396574240820423,0.13282721361505576,0.9319247212790234,123175,155879,2.362265070022326,1.866652980837701
prisoners-dilemma,0.7,290972,-0.00028688397,0.06260661,0.040004678,1.1181495,0.01421098937354797,0.1325763303685578,0.9360625764678389,123865,156430,2.3491058814031405,1.860077990155341
prisoners-dilemma,0.9,290972,-0.00040158237,0.062220346,0.039771233,1.3877909,0.013922301802235266,0.13409537687475084,0.9409668284233534,123814,156221,2.3500734973427884,1.8625664923409784
hawk-dove,0.1,290972,0.0004133609,0.065007634,0.04045994,1.2213519,0.013355236930013885,0.13119131737761708,0.9194767881445637,121149,154142,2.401769721582514,1.8876879760221095
hawk-dove,0.3,290972,0.00016199595,0.06365128,0.04044696,1.0906551,0.013107790440317282,0.13098511196953658,0.9257763633614231,123310,155933,2.359678858162355,1.866006554096952
hawk-dove,0.5,290972,0.0003290798,0.062239006,0.0400671,1.0594796,0.013709222880552081,0.1326003876661672,0.9382208597390814,124671,157159,2.333918874477625,1.8514498056108781
hawk-dove,0.7,290972,0.00049991114,0.061874706,0.039856233,1.1430602,0.013832946125400382,0.1349889336430997,0.9419944187069547,124505,156705,2.3370306413397053,1.8568137583357263
hawk-dove,0.9,290972,-0.0006839321,0.06200818,0.039755575,1.2506825,0.014424068295231155,0.1353532298640419,0.9420769008701868,124020,156418,2.346169972585067,1.860220690713345
stag-hunt,0.1,290972,-0.00073935004,0.06423841,0.04018183,1.3023084,0.013973853154255393,0.1327756622630356,0.9272610422996027,121572,154394,2.3934129569308724,1.884606914776481
stag-hunt,0.3,290972,-0.00033730883,0.063034266,0.040085405,1.1460422,0.013571752608498413,0.1324285498261001,0.9323852466904032,123329,155935,2.3593153272952834,1.8659826209638632
stag-hunt,0.5,290972,7.0420356e-05,0.06158574,0.039587624,1.1660075,0.014121633696713086,0.13460745363815074,0.9419359938413319,124371,156698,2.3395486085984674,1.85689670576523
stag-hunt,0.7,290972,-0.00033239907,0.06113357,0.039296977,1.1098869,0.014217862887150655,0.1346452579629655,0.9448331798248629,124546,156964,2.336261301045397,1.853749904436686
stag-hunt,0.9,290972,-0.00016119059,0.061019197,0.039301004,1.108161,0.014217862887150655,0.13558005581293045,0.9456580014571849,124792,157110,2.3316558753766268,1.8520272420597035
