game,opponent,layer,grad_norm,input_sensitivity
prisoners-dilemma,0.1,payoff_matrix_embed.0.weight,6.493685873465438e-07,3.439631512947017e-08
prisoners-dilemma,0.1,payoff_matrix_embed.0.bias,1.0976332731615912e-07,3.439631512947017e-08
prisoners-dilemma,0.1,payoff_matrix_embed.2.weight,1.2898392753868393e-07,3.439631512947017e-08
prisoners-dilemma,0.1,payoff_matrix_embed.2.bias,1.0983245601892122e-07,3.439631512947017e-08
prisoners-dilemma,0.1,round_number_embed.0.weight,2.411666173429694e-07,3.439631512947017e-08
prisoners-dilemma,0.1,round_number_embed.0.bias,1.169719553217874e-06,3.439631512947017e-08
prisoners-dilemma,0.1,round_number_embed.2.weight,1.824621023160944e-07,3.439631512947017e-08
prisoners-dilemma,0.1,round_number_embed.2.bias,1.4450236562879581e-07,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_action_embed.0.weight,4.263295352302521e-07,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_action_embed.0.bias,1.410452023264952e-05,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_action_embed.2.weight,3.849175698178442e-07,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_action_embed.2.bias,7.468478884220531e-07,3.439631512947017e-08
prisoners-dilemma,0.1,agent_action_embed.0.weight,6.793085560730105e-08,3.439631512947017e-08
prisoners-dilemma,0.1,agent_action_embed.0.bias,7.040874606900616e-06,3.439631512947017e-08
prisoners-dilemma,0.1,agent_action_embed.2.weight,1.9724821243016777e-07,3.439631512947017e-08
prisoners-dilemma,0.1,agent_action_embed.2.bias,2.41683380863833e-07,3.439631512947017e-08
prisoners-dilemma,0.1,agent_reward_embed.0.weight,0.0,3.439631512947017e-08
prisoners-dilemma,0.1,agent_reward_embed.0.bias,3.6960911984351696e-06,3.439631512947017e-08
prisoners-dilemma,0.1,agent_reward_embed.2.weight,3.049828762868856e-07,3.439631512947017e-08
prisoners-dilemma,0.1,agent_reward_embed.2.bias,1.4262627701100428e-07,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_reward_embed.0.weight,0.0,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_reward_embed.0.bias,1.3707006019103574e-06,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_reward_embed.2.weight,4.7451030127376725e-07,3.439631512947017e-08
prisoners-dilemma,0.1,opponent_reward_embed.2.bias,5.057816565567919e-07,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.weight_ih_l0,5.922043328610016e-06,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.weight_hh_l0,4.928519956592936e-06,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.bias_ih_l0,5.31047760432557e-07,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.bias_hh_l0,5.31047760432557e-07,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.weight_ih_l1,6.221026978892041e-06,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.weight_hh_l1,5.852151389262872e-06,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.bias_ih_l1,6.25656639385852e-07,3.439631512947017e-08
prisoners-dilemma,0.1,lstm.bias_hh_l1,6.25656639385852e-07,3.439631512947017e-08
prisoners-dilemma,0.1,policy_head.0.weight,2.958834193123039e-05,3.439631512947017e-08
prisoners-dilemma,0.1,policy_head.0.bias,3.150143584207399e-06,3.439631512947017e-08
prisoners-dilemma,0.1,policy_head.3.weight,0.00010622313857311383,3.439631512947017e-08
prisoners-dilemma,0.1,policy_head.3.bias,5.077110472484492e-06,3.439631512947017e-08
prisoners-dilemma,0.3,payoff_matrix_embed.0.weight,1.3324606698006392e-06,8.658697936425597e-08
prisoners-dilemma,0.3,payoff_matrix_embed.0.bias,2.2522695530824421e-07,8.658697936425597e-08
prisoners-dilemma,0.3,payoff_matrix_embed.2.weight,1.6019072290873737e-07,8.658697936425597e-08
prisoners-dilemma,0.3,payoff_matrix_embed.2.bias,2.471287814387324e-07,8.658697936425597e-08
