game,opponent,matrix,effective_rank_90,effective_rank_95,participation_ratio,condition_number,spectral_entropy,max_singular_value,min_singular_value
prisoners-dilemma,0.1,lstm_l0_ih,91,105,101.86822,9.974999,4.280054,6.723968,0.67408204
prisoners-dilemma,0.1,lstm_l0_hh,110,119,114.539185,4.6541834,4.536437,4.059485,0.8722228
prisoners-dilemma,0.1,lstm_l1_ih,87,103,89.83042,15.034265,3.8366516,9.791143,0.65125525
prisoners-dilemma,0.1,lstm_l1_hh,112,120,117.96626,4.7627296,4.612502,4.1490235,0.87114406
prisoners-dilemma,0.1,policy_head,40,48,49.03287,12.656752,3.5528836,2.4852648,0.19635881
prisoners-dilemma,0.1,value_head,41,49,51.52639,11.950549,3.7085922,1.9760932,0.16535585
prisoners-dilemma,0.3,lstm_l0_ih,92,106,104.675125,9.429771,4.3570633,6.2655635,0.6644449
prisoners-dilemma,0.3,lstm_l0_hh,112,120,118.8302,4.5845013,4.6347113,3.9870076,0.8696709
prisoners-dilemma,0.3,lstm_l1_ih,90,106,97.72528,12.589142,4.0952234,8.184514,0.65012485
prisoners-dilemma,0.3,lstm_l1_hh,113,120,118.73026,4.810374,4.6189346,4.2313285,0.8796257
prisoners-dilemma,0.3,policy_head,41,49,51.26902,10.695562,3.6833348,2.1123872,0.19750127
prisoners-dilemma,0.3,value_head,41,49,52.258556,10.556226,3.7470613,1.8487638,0.17513493
prisoners-dilemma,0.5,lstm_l0_ih,92,106,104.74817,9.770264,4.353272,6.3514724,0.650082
prisoners-dilemma,0.5,lstm_l0_hh,112,120,120.02224,4.310367,4.6663465,3.7181606,0.86260885
prisoners-dilemma,0.5,lstm_l1_ih,91,106,98.88833,12.154108,4.1228905,8.094442,0.6659841
prisoners-dilemma,0.5,lstm_l1_hh,113,120,119.27172,4.705455,4.6347904,4.122421,0.87609404
prisoners-dilemma,0.5,policy_head,41,49,51.399193,10.411738,3.6921227,2.0820498,0.1999714
prisoners-dilemma,0.5,value_head,42,49,52.891533,9.806719,3.7831938,1.7019273,0.17354707
prisoners-dilemma,0.7,lstm_l0_ih,92,106,106.64402,8.375408,4.4234257,5.496608,0.6562794
prisoners-dilemma,0.7,lstm_l0_hh,110,119,114.43481,4.942376,4.5329103,4.1660156,0.84291756
prisoners-dilemma,0.7,lstm_l1_ih,92,107,104.84558,9.680518,4.333945,6.4581423,0.6671277
prisoners-dilemma,0.7,lstm_l1_hh,112,120,120.79674,4.38961,4.68075,3.7519045,0.85472393
prisoners-dilemma,0.7,policy_head,41,48,50.355186,11.447188,3.6345983,2.2508237,0.19662678
prisoners-dilemma,0.7,value_head,42,50,54.09756,7.640542,3.8435013,1.4058731,0.18400174
prisoners-dilemma,0.9,lstm_l0_ih,93,107,108.652214,7.9107165,4.481154,5.1355457,0.64918846
prisoners-dilemma,0.9,lstm_l0_hh,110,119,115.40333,4.823085,4.5565815,4.086049,0.84718585
prisoners-dilemma,0.9,lstm_l1_ih,93,108,106.96795,9.052836,4.401123,5.8650703,0.647871
prisoners-dilemma,0.9,lstm_l1_hh,112,120,120.89472,4.1147704,4.6902432,3.574534,0.86870795
prisoners-dilemma,0.9,policy_head,41,48,49.813053,11.756688,3.5994072,2.3600054,0.20073727
prisoners-dilemma,0.9,value_head,42,50,54.523132,7.54838,3.8634124,1.2834998,0.17003646
hawk-dove,0.1,lstm_l0_ih,91,106,103.033295,9.732621,4.3142257,6.5238442,0.670307
hawk-dove,0.1,lstm_l0_hh,109,118,109.899605,5.7502413,4.41163,4.7992015,0.83460873
hawk-dove,0.1,lstm_l1_ih,87,104,91.031906,14.527015,3.87682,9.545673,0.65709805
hawk-dove,0.1,lstm_l1_hh,112,120,119.453415,4.4600286,4.6539416,3.8212547,0.856778
hawk-dove,0.1,policy_head,41,49,50.49374,11.2067795,3.639773,2.2373304,0.1996408
