train_game,train_opponent,coop_mean,coop_sem,reward_mean,reward_sem
hawk-dove,0.1,0.0,0.0,0.5096,0.0
hawk-dove,0.3,0.0,0.0,0.5233857142857142,0.0
hawk-dove,0.5,0.0,0.0,0.53735,0.0
hawk-dove,0.7,1.0,0.0,0.41845669642857153,0.0
hawk-dove,0.9,1.0,0.0,0.42397455357142866,0.0
prisoners-dilemma,0.1,0.0,0.0,0.5081428571428571,0.0
prisoners-dilemma,0.3,0.0,0.0,0.5191714285714285,0.0
prisoners-dilemma,0.5,0.0,0.0,0.5303428571428571,0.0
prisoners-dilemma,0.7,0.0,0.0,0.5419857142857143,0.0
prisoners-dilemma,0.9,0.0,0.0,0.5537571428571428,0.0
stag-hunt,0.1,1.0,0.0,0.38036071428571433,0.0
stag-hunt,0.3,0.9999964285714287,3.571428571411128e-06,0.39414553571428573,8.928571428618026e-07
stag-hunt,0.5,0.48095,0.1440867284398532,0.475618125,0.018739908941435412
stag-hunt,0.7,0.0,0.0,0.5380285714285714,0.0
stag-hunt,0.9,0.0,0.0,0.595047619047619,0.057019047619047636
