train_game,train_opponent,ratio_mean,ratio_sem,train_coop_mean,train_coop_sem,same_task_reward_mean,same_task_reward_sem,other_tasks_reward_mean,other_tasks_reward_sem
hawk-dove,0.1,1.3615802469135803,0.0,0.0,0.0,0.4050000000000001,0.0,0.55144,0.0
hawk-dove,0.3,1.2166354109211253,0.0,0.0,0.0,0.45325000000000004,0.0,0.55144,0.0
hawk-dove,0.5,1.0982125964650236,0.0,0.0,0.0,0.502125,0.0,0.55144,0.0
hawk-dove,0.7,0.8808075563222708,0.0,1.0,0.0,0.4573984375000001,0.0,0.40288,0.0
hawk-dove,0.9,0.8451243055441747,0.0,1.0,0.0,0.47671093750000004,0.0,0.40288,0.0
prisoners-dilemma,0.1,0.9576335877862597,0.0,0.0,0.0,0.5239999999999999,0.0,0.5018,0.0
prisoners-dilemma,0.3,0.891930323498045,0.0,0.0,0.0,0.5625999999999999,0.0,0.5018,0.0
prisoners-dilemma,0.5,0.8339704171514045,0.0,0.0,0.0,0.6016999999999999,0.0,0.5018,0.0
prisoners-dilemma,0.7,0.7810724570005448,0.0,0.0,0.0,0.64245,0.0,0.5018,0.0
prisoners-dilemma,0.9,0.7340013164631025,0.0,0.0,0.0,0.68365,0.0,0.5018,0.0
stag-hunt,0.1,0.9148271604938272,0.0,0.999,0.0010000000000000037,0.4050000000000001,0.0,0.370505,0.0
stag-hunt,0.3,0.8174379481522337,2.7578599007205274e-06,0.999,0.0010000000000000037,0.45325000000000004,0.0,0.37050374999999997,1.2499999999956989e-06
stag-hunt,0.5,0.9303061546563773,0.0534066015085163,0.506,0.15522081046045338,0.5006,0.0005262076883227874,0.46562537499999995,0.026394968541016476
stag-hunt,0.7,1.10648,0.0,0.0,0.0,0.5,0.0,0.55324,0.0
stag-hunt,0.9,1.10648,,0.0,0.0,0.5,,0.6026533333333333,0.04941333333333339
