model_id,train_game,train_opponent,seed,final_training_coop,mean_same_task_reward,mean_other_tasks_reward,cross_task_ratio
0,prisoners-dilemma,0.1,0,0.0,0.5239999999999999,0.5018,0.9576335877862597
10,prisoners-dilemma,0.5,0,0.0,0.6016999999999999,0.5018,0.8339704171514045
11,prisoners-dilemma,0.5,1,0.0,0.6016999999999999,0.5018,0.8339704171514045
12,prisoners-dilemma,0.5,2,0.0,0.6016999999999999,0.5018,0.8339704171514045
13,prisoners-dilemma,0.5,3,0.0,0.6016999999999999,0.5018,0.8339704171514045
14,prisoners-dilemma,0.5,4,0.0,0.6016999999999999,0.5018,0.8339704171514045
15,prisoners-dilemma,0.7,0,0.0,0.64245,0.5018,0.7810724570005448
16,prisoners-dilemma,0.7,1,0.0,0.64245,0.5018,0.7810724570005448
17,prisoners-dilemma,0.7,2,0.0,0.64245,0.5018,0.7810724570005448
18,prisoners-dilemma,0.7,3,0.0,0.64245,0.5018,0.7810724570005448
19,prisoners-dilemma,0.7,4,0.0,0.64245,0.5018,0.7810724570005448
1,prisoners-dilemma,0.1,1,0.0,0.5239999999999999,0.5018,0.9576335877862597
20,prisoners-dilemma,0.9,0,0.0,0.68365,0.5018,0.7340013164631025
21,prisoners-dilemma,0.9,1,0.0,0.68365,0.5018,0.7340013164631025
22,prisoners-dilemma,0.9,2,0.0,0.68365,0.5018,0.7340013164631025
23,prisoners-dilemma,0.9,3,0.0,0.68365,0.5018,0.7340013164631025
24,prisoners-dilemma,0.9,4,0.0,0.68365,0.5018,0.7340013164631025
25,hawk-dove,0.1,0,0.0,0.405,0.55144,1.3615802469135803
26,hawk-dove,0.1,1,0.0,0.405,0.55144,1.3615802469135803
27,hawk-dove,0.1,2,0.0,0.405,0.55144,1.3615802469135803
28,hawk-dove,0.1,3,0.0,0.405,0.55144,1.3615802469135803
29,hawk-dove,0.1,4,0.0,0.405,0.55144,1.3615802469135803
2,prisoners-dilemma,0.1,2,0.0,0.5239999999999999,0.5018,0.9576335877862597
30,hawk-dove,0.3,0,0.0,0.45325000000000004,0.55144,1.2166354109211253
31,hawk-dove,0.3,1,0.0,0.45325000000000004,0.55144,1.2166354109211253
32,hawk-dove,0.3,2,0.0,0.45325000000000004,0.55144,1.2166354109211253
33,hawk-dove,0.3,3,0.0,0.45325000000000004,0.55144,1.2166354109211253
34,hawk-dove,0.3,4,0.0,0.45325000000000004,0.55144,1.2166354109211253
35,hawk-dove,0.5,0,0.0,0.502125,0.55144,1.0982125964650236
36,hawk-dove,0.5,1,0.0,0.502125,0.55144,1.0982125964650236
37,hawk-dove,0.5,2,0.0,0.502125,0.55144,1.0982125964650236
38,hawk-dove,0.5,3,0.0,0.502125,0.55144,1.0982125964650236
39,hawk-dove,0.5,4,0.0,0.502125,0.55144,1.0982125964650236
3,prisoners-dilemma,0.1,3,0.0,0.5239999999999999,0.5018,0.9576335877862597
40,hawk-dove,0.7,0,1.0,0.4573984375000001,0.40288,0.8808075563222708
41,hawk-dove,0.7,1,1.0,0.4573984375000001,0.40288,0.8808075563222708
42,hawk-dove,0.7,2,1.0,0.4573984375000001,0.40288,0.8808075563222708
43,hawk-dove,0.7,3,1.0,0.4573984375000001,0.40288,0.8808075563222708
44,hawk-dove,0.7,4,1.0,0.4573984375000001,0.40288,0.8808075563222708
45,hawk-dove,0.9,0,1.0,0.47671093750000004,0.40288,0.8451243055441747
46,hawk-dove,0.9,1,1.0,0.47671093750000004,0.40288,0.8451243055441747
47,hawk-dove,0.9,2,1.0,0.47671093750000004,0.40288,0.8451243055441747
48,hawk-dove,0.9,3,1.0,0.47671093750000004,0.40288,0.8451243055441747
49,hawk-dove,0.9,4,1.0,0.47671093750000004,0.40288,0.8451243055441747
4,prisoners-dilemma,0.1,4,0.0,0.5239999999999999,0.5018,0.9576335877862597
50,stag-hunt,0.1,0,1.0,0.405,0.370505,0.9148271604938271
51,stag-hunt,0.1,1,1.0,0.405,0.370505,0.9148271604938271
52,stag-hunt,0.1,2,1.0,0.405,0.370505,0.9148271604938271
53,stag-hunt,0.1,3,0.995,0.405,0.370505,0.9148271604938271
54,stag-hunt,0.1,4,1.0,0.405,0.370505,0.9148271604938271
55,stag-hunt,0.3,0,1.0,0.45325000000000004,0.370505,0.8174407060121345
56,stag-hunt,0.3,1,1.0,0.45325000000000004,0.370505,0.8174407060121345
57,stag-hunt,0.3,2,1.0,0.45325000000000004,0.370505,0.8174407060121345
58,stag-hunt,0.3,3,0.995,0.45325000000000004,0.370505,0.8174407060121345
59,stag-hunt,0.3,4,1.0,0.45325000000000004,0.37049875,0.8174269167126309
5,prisoners-dilemma,0.3,0,0.0,0.5625999999999999,0.5018,0.891930323498045
60,stag-hunt,0.5,0,0.445,0.500375,0.465018125,0.9293392455658256
61,stag-hunt,0.5,1,0.97,0.50265625,0.38676750000000004,0.7694473111594654
62,stag-hunt,0.5,2,0.0,0.5,0.55324,1.10648
63,stag-hunt,0.5,3,0.585,0.50025,0.45990374999999994,0.9193478260869564
64,stag-hunt,0.5,4,0.53,0.49971875,0.46319750000000004,0.9269163904696393
65,stag-hunt,0.7,0,0.0,0.5,0.55324,1.10648
66,stag-hunt,0.7,1,0.0,0.5,0.55324,1.10648
67,stag-hunt,0.7,2,0.0,0.5,0.55324,1.10648
68,stag-hunt,0.7,3,0.0,0.5,0.55324,1.10648
69,stag-hunt,0.7,4,0.0,0.5,0.55324,1.10648
6,prisoners-dilemma,0.3,1,0.0,0.5625999999999999,0.5018,0.891930323498045
70,stag-hunt,0.9,0,0.0,0.5,0.55324,1.10648
71,stag-hunt,0.9,1,0.0,,0.6520666666666667,
7,prisoners-dilemma,0.3,2,0.0,0.5625999999999999,0.5018,0.891930323498045
8,prisoners-dilemma,0.3,3,0.0,0.5625999999999999,0.5018,0.891930323498045
9,prisoners-dilemma,0.3,4,0.0,0.5625999999999999,0.5018,0.891930323498045
