condition_id,train_game,train_opponent,game_name,nash_equilibrium_count,payoff_variance,social_dilemma_strength,temptation_to_defect,coordination_bonus,risk_dominance,payoff_range,R,S,T,P,opponent_defect_prob,stationarity,predictability,cooperation_rate,adaptation_requirement,action_entropy,empirical_defect_rate,empirical_entropy,temporal_consistency,mean_cooperation,policy_entropy,behavioral_variability,reciprocity_strength,p_coop_given_opp_coop,p_coop_given_opp_defect,social_ratio,env_weight_total,soc_weight_total,weight_l2_norm,effective_dimensionality,pca_variance_ratio_95,activation_sparsity,embedding_specialization
0,prisoners-dilemma,0.1,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.1,1.0,0.5310044064107188,0.9,0.19999999999999996,0.4689955935892812,0.1,0.4689955935892812,,0.0,0.0,0.0,,,,0.6697790996697942,5.249463272094727,10.643630695343017,34.85916710677825,1.8,0.9729025,0.0819013074992474,0.2403413965954883
1,prisoners-dilemma,0.3,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.3,1.0,0.1187091007693073,0.7,0.6,0.8812908992306927,0.3,0.8812908992306927,,0.0,0.0,0.0,,,,0.6686997883390935,5.2522398948669435,10.594936990737915,33.89237175243759,1.4,0.9653797,0.08091381294437291,0.2249626717627232
2,prisoners-dilemma,0.5,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,,0.0,0.0,0.0,,,,0.6682451705278721,5.25149621963501,10.573383045196532,33.69017894581836,2.2,0.97081393,0.07951656267133399,0.23130645207039432
3,prisoners-dilemma,0.7,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.7,1.0,0.1187091007693073,0.30000000000000004,0.6000000000000001,0.8812908992306927,0.7,0.8812908992306927,,0.0,0.0,0.0,,,,0.6689274925776086,5.2469288349151615,10.596443223953248,33.682101139023004,2.4,0.966561,0.07712180366718849,0.23862114576392943
4,prisoners-dilemma,0.9,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.9,1.0,0.5310044064107189,0.09999999999999998,0.19999999999999996,0.4689955935892811,0.9,0.4689955935892811,,0.0,0.0,0.0,,,,0.6699476637486018,5.247501945495605,10.646817874908447,33.67386581445423,2.4,0.9719288,0.07757941000347282,0.23378157566356403
5,hawk-dove,0.1,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.1,1.0,0.5310044064107188,0.9,0.19999999999999996,0.4689955935892812,0.1,0.4689955935892812,,0.0,0.0,0.0,,,,0.6699228307451233,5.248938798904419,10.647840118408203,34.94728622007801,2.2,0.9704441,0.08310923182760858,0.23106579835514326
6,hawk-dove,0.3,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.3,1.0,0.1187091007693073,0.7,0.6,0.8812908992306927,0.3,0.8812908992306927,,0.0,0.0,0.0,,,,0.6682259932584719,5.254286098480224,10.577395629882812,34.15431320119203,2.8,0.96309245,0.08064215640293569,0.22613678090136352
7,hawk-dove,0.5,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,,0.0,0.0,0.0,,,,0.6686364240463674,5.249492454528808,10.586909246444701,33.46640451912664,3.8,0.96656924,0.07453922561902496,0.2241915460674646
8,hawk-dove,0.7,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.7,1.0,0.1187091007693073,0.30000000000000004,0.6000000000000001,0.8812908992306927,0.7,0.8812908992306927,,1.0,0.0,0.0,,,,0.6689822728288056,5.256745052337647,10.617075681686401,33.361792635736904,2.8,0.9628929,0.07309860669794968,0.2217568834130565
9,hawk-dove,0.9,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.9,1.0,0.5310044064107189,0.09999999999999998,0.19999999999999996,0.4689955935892811,0.9,0.4689955935892811,,1.0,0.0,0.0,,,,0.6699520443240115,5.247330951690674,10.643929958343506,33.28068985793027,2.4,0.9617764,0.07674766113032751,0.22360477990603264
10,stag-hunt,0.1,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.1,1.0,0.5310044064107188,0.9,0.19999999999999996,0.4689955935892812,0.1,0.4689955935892812,,1.0,0.0,0.0,,,,0.6699588245229133,5.243504762649536,10.637715530395507,34.36302843056352,1.6,0.9684917,0.0798659578628584,0.23623304932778577
11,stag-hunt,0.3,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.3,1.0,0.1187091007693073,0.7,0.6,0.8812908992306927,0.3,0.8812908992306927,,0.9999910714285714,0.00016264131970648485,4.72455591261482e-05,,,,0.6682416919593697,5.258817481994629,10.587343502044678,33.9037410027286,2.4,0.9667184,0.07826543179783142,0.22591717682539197
12,stag-hunt,0.5,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,,0.6011875,0.9702517116958259,0.1791627323387621,,,,0.6686435189222408,5.250656509399414,10.589641189575195,33.1586451469952,3.0,0.96056,0.07326501930225635,0.22339467316669634
