train_game,train_opponent,coop_mean,coop_sem,reward_mean,reward_sem
hawk-dove,0.1,0.0,0.0,0.4290285714285714,0.0
hawk-dove,0.3,0.0,0.0,0.45108571428571426,0.0
hawk-dove,0.5,0.0,0.0,0.47342857142857137,0.0
hawk-dove,0.7,1.0,0.0,0.34661071428571427,0.0
hawk-dove,0.9,1.0,0.0,0.3554392857142857,0.0
prisoners-dilemma,0.1,0.0,0.0,0.43748571428571426,0.0
prisoners-dilemma,0.3,0.0,0.0,0.44851428571428575,0.0
prisoners-dilemma,0.5,0.0,0.0,0.4596857142857143,0.0
prisoners-dilemma,0.7,0.0,0.0,0.47132857142857143,0.0
prisoners-dilemma,0.9,0.0,0.0,0.48310000000000003,0.0
stag-hunt,0.1,1.0,0.0,0.30839999999999995,0.0
stag-hunt,0.3,0.9999910714285715,8.92857142853476e-06,0.31942499999999996,3.571428571394475e-06
stag-hunt,0.5,0.6011875,0.10250145451203771,0.3882267857142857,0.014950152612523885
stag-hunt,0.7,0.0,0.0,0.47451428571428567,0.0
stag-hunt,0.9,0.0,0.0,0.47451428571428567,2.7755575615628914e-17
