model_id,train_game,train_opponent,seed,mean_cooperation,mean_normalized_reward
0,prisoners-dilemma,0.1,35934,0.0,0.5081428571428571
10,prisoners-dilemma,0.5,40036,0.0,0.5303428571428571
12,prisoners-dilemma,0.5,40042,0.0,0.5303428571428571
14,prisoners-dilemma,0.5,40103,0.0,0.5303428571428571
15,prisoners-dilemma,0.7,40110,0.0,0.5419857142857143
16,prisoners-dilemma,0.7,40118,0.0,0.5419857142857143
17,prisoners-dilemma,0.7,40121,0.0,0.5419857142857143
18,prisoners-dilemma,0.7,40130,0.0,0.5419857142857143
20,prisoners-dilemma,0.9,40148,0.0,0.5537571428571428
21,prisoners-dilemma,0.9,40152,0.0,0.5537571428571428
23,prisoners-dilemma,0.9,40204,0.0,0.5537571428571428
25,hawk-dove,0.1,40219,0.0,0.5096
26,hawk-dove,0.1,40228,0.0,0.5096
28,hawk-dove,0.1,40237,0.0,0.5096
29,hawk-dove,0.1,40255,0.0,0.5096
2,prisoners-dilemma,0.1,35933,0.0,0.5081428571428571
30,hawk-dove,0.3,40256,0.0,0.5233857142857142
31,hawk-dove,0.3,40302,0.0,0.5233857142857142
32,hawk-dove,0.3,40307,0.0,0.5233857142857142
33,hawk-dove,0.3,40316,0.0,0.5233857142857142
34,hawk-dove,0.3,40331,0.0,0.5233857142857142
36,hawk-dove,0.5,40336,0.0,0.53735
37,hawk-dove,0.5,40350,0.0,0.53735
38,hawk-dove,0.5,40355,0.0,0.53735
39,hawk-dove,0.5,40401,0.0,0.53735
3,prisoners-dilemma,0.1,35931,0.0,0.5081428571428571
40,hawk-dove,0.7,40407,1.0,0.41845669642857153
41,hawk-dove,0.7,40411,1.0,0.41845669642857153
45,hawk-dove,0.9,40443,1.0,0.42397455357142866
46,hawk-dove,0.9,40452,1.0,0.42397455357142866
47,hawk-dove,0.9,40458,1.0,0.42397455357142866
48,hawk-dove,0.9,40510,1.0,0.42397455357142866
49,hawk-dove,0.9,40513,1.0,0.42397455357142866
4,prisoners-dilemma,0.1,35952,0.0,0.5081428571428571
50,stag-hunt,0.1,40520,1.0,0.38036071428571433
51,stag-hunt,0.1,40524,1.0,0.38036071428571433
52,stag-hunt,0.1,40534,1.0,0.38036071428571433
53,stag-hunt,0.1,40542,1.0,0.38036071428571433
54,stag-hunt,0.1,40549,1.0,0.38036071428571433
55,stag-hunt,0.3,40557,1.0,0.3941464285714286
59,stag-hunt,0.3,40626,0.9999821428571429,0.3941419642857143
60,stag-hunt,0.5,40626,0.4855357142857143,0.47512008928571425
61,stag-hunt,0.5,40647,0.9081964285714287,0.4198785714285714
63,stag-hunt,0.5,40655,0.513875,0.47143125
64,stag-hunt,0.5,40706,0.4971428571428572,0.47363214285714283
65,stag-hunt,0.7,40710,0.0,0.5380285714285714
66,stag-hunt,0.7,40720,0.0,0.5380285714285714
67,stag-hunt,0.7,40723,0.0,0.5380285714285714
68,stag-hunt,0.7,40731,0.0,0.5380285714285714
69,stag-hunt,0.7,40740,0.0,0.5380285714285714
6,prisoners-dilemma,0.3,40003,0.0,0.5191714285714285
70,stag-hunt,0.9,40748,0.0,0.5380285714285714
71,stag-hunt,0.9,40752,0.0,0.5380285714285714
8,prisoners-dilemma,0.3,40014,0.0,0.5191714285714285
72,stag-hunt,0.9,40757,0.0,0.5380285714285714
73,stag-hunt,0.9,40805,0.0,0.5380285714285714
74,stag-hunt,0.9,40814,0.0,0.5380285714285714
