train_game,train_opponent,same_game_mean,same_game_sem,same_opp_mean,same_opp_sem,diff_both_mean,diff_both_sem
hawk-dove,0.1,0.248,0.0,0.6592,0.0,0.462,0.0
hawk-dove,0.3,0.3252,0.0,0.5820000000000001,0.0,0.48130000000000006,0.0
hawk-dove,0.5,0.4034,0.0,0.5038,0.0,0.50085,0.0
hawk-dove,0.7,0.3318375,0.0,0.21402500000000002,0.0,0.38714375,0.0
hawk-dove,0.9,0.36273750000000005,0.0,0.069825,0.0,0.4231937500000001,0.0
prisoners-dilemma,0.1,0.5239999999999999,0.0,0.7183999999999999,0.0,0.324,0.0
prisoners-dilemma,0.3,0.5625999999999999,0.0,0.5640000000000001,0.0,0.36260000000000003,0.0
prisoners-dilemma,0.5,0.6016999999999999,0.0,0.4076,0.0,0.4017,0.0
prisoners-dilemma,0.7,0.64245,0.0,0.2446,0.0,0.44245,0.0
prisoners-dilemma,0.9,0.68365,0.0,0.07980000000000001,0.0,0.48364999999999997,0.0
stag-hunt,0.1,0.32400000000000007,0.0,0.5388,0.0,0.24300000000000005,0.0
stag-hunt,0.3,0.36260000000000003,0.0,0.42300000000000004,0.0,0.27194375000000004,6.249999999985434e-06
stag-hunt,0.5,0.4006,0.0005209166600010811,0.38945625,0.02171217346472941,0.3817328125,0.020988459033422526
stag-hunt,0.7,0.4,0.0,0.2669,0.0,0.5636749999999999,0.0
stag-hunt,0.9,0.4,0.0,0.019699999999999995,0.0,0.625475,0.0
