train_game,train_opponent,ratio_mean,ratio_sem,train_coop_mean,train_coop_sem,same_task_reward_mean,same_task_reward_sem,other_tasks_reward_mean,other_tasks_reward_sem
hawk-dove,0.1,2.0219354838709678,0.0,0.0,0.0,0.248,0.0,0.50144,0.0
hawk-dove,0.3,1.5419434194341943,0.0,0.0,0.0,0.3252,0.0,0.50144,0.0
hawk-dove,0.5,1.2430342092216162,0.0,0.0,0.0,0.4034,0.0,0.50144,0.0
hawk-dove,0.7,1.0623271932798435,0.0,1.0,0.0,0.3318375,0.0,0.35252000000000006,0.0
hawk-dove,0.9,0.9718322478376237,0.0,1.0,0.0,0.36273750000000005,0.0,0.35252000000000006,0.0
prisoners-dilemma,0.1,0.7688549618320611,0.0,0.0,0.0,0.5239999999999999,0.0,0.40287999999999996,0.0
prisoners-dilemma,0.3,0.716103803768219,0.0,0.0,0.0,0.5625999999999999,0.0,0.40287999999999996,0.0
prisoners-dilemma,0.5,0.6695695529333555,0.0,0.0,0.0,0.6016999999999999,0.0,0.40287999999999996,0.0
prisoners-dilemma,0.7,0.6270993851661608,0.0,0.0,0.0,0.64245,0.0,0.40287999999999996,0.0
prisoners-dilemma,0.9,0.5893073941344255,0.0,0.0,0.0,0.68365,0.0,0.40287999999999996,0.0
stag-hunt,0.1,0.9325925925925922,0.0,0.999,0.0010000000000000037,0.32400000000000007,0.0,0.30216,0.0
stag-hunt,0.3,0.8333011583011583,1.3789299503547126e-05,1.0,0.0,0.36260000000000003,0.0,0.302155,4.999999999977245e-06
stag-hunt,0.5,0.9569634871119088,0.05383121483531797,0.6325000000000001,0.11612672675429486,0.4006,0.0005209166600010811,0.38327749999999994,0.02113319372653676
stag-hunt,0.7,1.2608,0.0,0.0,0.0,0.4,0.0,0.50432,0.0
stag-hunt,0.9,1.2608,0.0,0.0,0.0,0.4,0.0,0.50432,0.0
