model_id,train_game,train_opponent,seed,final_training_coop,mean_same_task_reward,mean_other_tasks_reward,cross_task_ratio
0,prisoners-dilemma,0.1,35934,0.0,0.5239999999999999,0.40287999999999996,0.7688549618320611
10,prisoners-dilemma,0.5,40036,0.0,0.6016999999999999,0.40287999999999996,0.6695695529333555
12,prisoners-dilemma,0.5,40042,0.0,0.6016999999999999,0.40287999999999996,0.6695695529333555
14,prisoners-dilemma,0.5,40103,0.0,0.6016999999999999,0.40287999999999996,0.6695695529333555
15,prisoners-dilemma,0.7,40110,0.0,0.64245,0.40287999999999996,0.6270993851661608
16,prisoners-dilemma,0.7,40118,0.0,0.64245,0.40287999999999996,0.6270993851661608
17,prisoners-dilemma,0.7,40121,0.0,0.64245,0.40287999999999996,0.6270993851661608
18,prisoners-dilemma,0.7,40130,0.0,0.64245,0.40287999999999996,0.6270993851661608
20,prisoners-dilemma,0.9,40148,0.0,0.68365,0.40287999999999996,0.5893073941344255
21,prisoners-dilemma,0.9,40152,0.0,0.68365,0.40287999999999996,0.5893073941344255
23,prisoners-dilemma,0.9,40204,0.0,0.68365,0.40287999999999996,0.5893073941344255
25,hawk-dove,0.1,40219,0.0,0.248,0.50144,2.0219354838709678
26,hawk-dove,0.1,40228,0.0,0.248,0.50144,2.0219354838709678
28,hawk-dove,0.1,40237,0.0,0.248,0.50144,2.0219354838709678
29,hawk-dove,0.1,40255,0.0,0.248,0.50144,2.0219354838709678
2,prisoners-dilemma,0.1,35933,0.0,0.5239999999999999,0.40287999999999996,0.7688549618320611
30,hawk-dove,0.3,40256,0.0,0.3252,0.50144,1.5419434194341943
31,hawk-dove,0.3,40302,0.0,0.3252,0.50144,1.5419434194341943
32,hawk-dove,0.3,40307,0.0,0.3252,0.50144,1.5419434194341943
33,hawk-dove,0.3,40316,0.0,0.3252,0.50144,1.5419434194341943
34,hawk-dove,0.3,40331,0.0,0.3252,0.50144,1.5419434194341943
36,hawk-dove,0.5,40336,0.0,0.4034,0.50144,1.2430342092216162
37,hawk-dove,0.5,40350,0.0,0.4034,0.50144,1.2430342092216162
38,hawk-dove,0.5,40355,0.0,0.4034,0.50144,1.2430342092216162
39,hawk-dove,0.5,40401,0.0,0.4034,0.50144,1.2430342092216162
3,prisoners-dilemma,0.1,35931,0.0,0.5239999999999999,0.40287999999999996,0.7688549618320611
40,hawk-dove,0.7,40407,1.0,0.3318375,0.35252000000000006,1.0623271932798435
41,hawk-dove,0.7,40411,1.0,0.3318375,0.35252000000000006,1.0623271932798435
45,hawk-dove,0.9,40443,1.0,0.36273750000000005,0.35252000000000006,0.9718322478376237
46,hawk-dove,0.9,40452,1.0,0.36273750000000005,0.35252000000000006,0.9718322478376237
47,hawk-dove,0.9,40458,1.0,0.36273750000000005,0.35252000000000006,0.9718322478376237
48,hawk-dove,0.9,40510,1.0,0.36273750000000005,0.35252000000000006,0.9718322478376237
49,hawk-dove,0.9,40513,1.0,0.36273750000000005,0.35252000000000006,0.9718322478376237
4,prisoners-dilemma,0.1,35952,0.0,0.5239999999999999,0.40287999999999996,0.7688549618320611
50,stag-hunt,0.1,40520,1.0,0.32400000000000007,0.30216,0.9325925925925923
51,stag-hunt,0.1,40524,1.0,0.32400000000000007,0.30216,0.9325925925925923
52,stag-hunt,0.1,40534,1.0,0.32400000000000007,0.30216,0.9325925925925923
53,stag-hunt,0.1,40542,0.995,0.32400000000000007,0.30216,0.9325925925925923
54,stag-hunt,0.1,40549,1.0,0.32400000000000007,0.30216,0.9325925925925923
55,stag-hunt,0.3,40557,1.0,0.36260000000000003,0.30216,0.8333149476006617
59,stag-hunt,0.3,40626,1.0,0.36260000000000003,0.30215000000000003,0.8332873690016547
60,stag-hunt,0.5,40626,0.445,0.4003000000000001,0.4068899999999999,1.0164626530102419
61,stag-hunt,0.5,40647,0.97,0.40212500000000007,0.319975,0.7957102890892135
63,stag-hunt,0.5,40655,0.585,0.40019999999999994,0.4012599999999999,1.0026486756621689
64,stag-hunt,0.5,40706,0.53,0.399775,0.40498500000000004,1.013032330686011
65,stag-hunt,0.7,40710,0.0,0.4,0.50432,1.2608
66,stag-hunt,0.7,40720,0.0,0.4,0.50432,1.2608
67,stag-hunt,0.7,40723,0.0,0.4,0.50432,1.2608
68,stag-hunt,0.7,40731,0.0,0.4,0.50432,1.2608
69,stag-hunt,0.7,40740,0.0,0.4,0.50432,1.2608
6,prisoners-dilemma,0.3,40003,0.0,0.5625999999999999,0.40287999999999996,0.716103803768219
70,stag-hunt,0.9,40748,0.0,0.4,0.50432,1.2608
71,stag-hunt,0.9,40752,0.0,0.4,0.50432,1.2608
8,prisoners-dilemma,0.3,40014,0.0,0.5625999999999999,0.40287999999999996,0.716103803768219
72,stag-hunt,0.9,40757,0.0,0.4,0.50432,1.2608
73,stag-hunt,0.9,40805,0.0,0.4,0.50432,1.2608
74,stag-hunt,0.9,40814,0.0,0.4,0.50432,1.2608
