condition_id,train_game,train_opponent,game_name,nash_equilibrium_count,payoff_variance,social_dilemma_strength,temptation_to_defect,coordination_bonus,risk_dominance,payoff_range,R,S,T,P,opponent_defect_prob,stationarity,predictability,cooperation_rate,adaptation_requirement,action_entropy,empirical_defect_rate,empirical_entropy,temporal_consistency,reciprocity_strength,p_coop_given_opp_coop,p_coop_given_opp_defect,policy_entropy,behavioral_variability,mean_cooperation,social_ratio,effective_dimensionality,weight_l2_norm,embedding_specialization,activation_sparsity
0,prisoners-dilemma,0.1,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.1,1.0,0.5310044064107188,0.9,0.19999999999999996,0.4689955935892812,0.1,0.4689955935892812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,prisoners-dilemma,0.3,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.3,1.0,0.1187091007693073,0.7,0.6,0.8812908992306927,0.3,0.8812908992306927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2,prisoners-dilemma,0.5,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,prisoners-dilemma,0.7,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.7,1.0,0.1187091007693073,0.30000000000000004,0.6000000000000001,0.8812908992306927,0.7,0.8812908992306927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
4,prisoners-dilemma,0.9,prisoners-dilemma,0.5,3.6875,5,2,-2,7,5,3,0,5,1,0.9,1.0,0.5310044064107189,0.09999999999999998,0.19999999999999996,0.4689955935892811,0.9,0.4689955935892811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,hawk-dove,0.1,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.1,1.0,0.5310044064107188,0.9,0.19999999999999996,0.4689955935892812,0.1,0.4689955935892812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
6,hawk-dove,0.3,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.3,1.0,0.1187091007693073,0.7,0.6,0.8812908992306927,0.3,0.8812908992306927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
7,hawk-dove,0.5,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
8,hawk-dove,0.7,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.7,1.0,0.1187091007693073,0.30000000000000004,0.6000000000000001,0.8812908992306927,0.7,0.8812908992306927,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,
9,hawk-dove,0.9,hawk-dove,0.5,1.25,3,1,-1,4,3,2,1,3,0,0.9,1.0,0.5310044064107189,0.09999999999999998,0.19999999999999996,0.4689955935892811,0.9,0.4689955935892811,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,
10,stag-hunt,0.1,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.1,1.0,0.5310044064107188,0.9,0.19999999999999996,0.4689955935892812,0.1,0.4689955935892812,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,
11,stag-hunt,0.3,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.3,1.0,0.1187091007693073,0.7,0.6,0.8812908992306927,0.3,0.8812908992306927,-3.5714540818148586e-06,6.992077975609412e-06,1.0,0.9999930079220244,6.977771345103567e-05,0.0018898189903603286,0.9999964285714286,,,,,
12,stag-hunt,0.5,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.3474861849344905,0.003046072344644768,0.4824614947831642,0.4794154224385194,0.9989526312448025,0.49963696570610144,0.48095,,,,,
13,stag-hunt,0.7,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.7,1.0,0.1187091007693073,0.30000000000000004,0.6000000000000001,0.8812908992306927,0.7,0.8812908992306927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
14,stag-hunt,0.9,stag-hunt,1.0,2.1875,4,-1,1,5,4,4,0,3,2,0.9,1.0,0.5310044064107189,0.09999999999999998,0.19999999999999996,0.4689955935892811,0.9,0.4689955935892811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
