model_id,train_game,train_opponent,seed,mean_cooperation,mean_normalized_reward
0,prisoners-dilemma,0.1,81523,0.0,0.5081428571428571
10,prisoners-dilemma,0.5,81626,0.0,0.5303428571428571
11,prisoners-dilemma,0.5,81627,0.0,0.5303428571428571
12,prisoners-dilemma,0.5,81639,0.0,0.5303428571428571
15,prisoners-dilemma,0.7,81651,0.0,0.5419857142857143
16,prisoners-dilemma,0.7,81711,0.0,0.5419857142857143
18,prisoners-dilemma,0.7,81712,0.0,0.5419857142857143
19,prisoners-dilemma,0.7,81719,0.0,0.5419857142857143
20,prisoners-dilemma,0.9,81729,0.0,0.5537571428571428
22,prisoners-dilemma,0.9,81747,0.0,0.5537571428571428
23,prisoners-dilemma,0.9,81751,0.0,0.5537571428571428
24,prisoners-dilemma,0.9,81748,0.0,0.5537571428571428
26,hawk-dove,0.1,81806,0.0,0.5096
28,hawk-dove,0.1,81818,0.0,0.5096
29,hawk-dove,0.1,81826,0.0,0.5096
30,hawk-dove,0.3,81833,0.0,0.5233857142857142
31,hawk-dove,0.3,81838,0.0,0.5233857142857142
32,hawk-dove,0.3,81845,0.0,0.5233857142857142
33,hawk-dove,0.3,81854,0.0,0.5233857142857142
35,hawk-dove,0.5,81911,0.0,0.53735
36,hawk-dove,0.5,81911,0.0,0.53735
37,hawk-dove,0.5,81915,0.0,0.53735
38,hawk-dove,0.5,81923,0.0,0.53735
39,hawk-dove,0.5,81929,0.0,0.53735
3,prisoners-dilemma,0.1,81522,0.0,0.5081428571428571
40,hawk-dove,0.7,81936,1.0,0.41845669642857153
41,hawk-dove,0.7,81946,1.0,0.41845669642857153
43,hawk-dove,0.7,81957,1.0,0.41845669642857153
44,hawk-dove,0.7,82006,1.0,0.41845669642857153
45,hawk-dove,0.9,82007,1.0,0.42397455357142866
48,hawk-dove,0.9,82025,1.0,0.42397455357142866
49,hawk-dove,0.9,82035,1.0,0.42397455357142866
4,prisoners-dilemma,0.1,81543,0.0,0.5081428571428571
50,stag-hunt,0.1,82039,1.0,0.38036071428571433
51,stag-hunt,0.1,82044,1.0,0.38036071428571433
52,stag-hunt,0.1,82053,1.0,0.38036071428571433
53,stag-hunt,0.1,82058,1.0,0.38036071428571433
54,stag-hunt,0.1,82101,1.0,0.38036071428571433
55,stag-hunt,0.3,82111,1.0,0.3941464285714286
56,stag-hunt,0.3,82118,1.0,0.3941464285714286
57,stag-hunt,0.3,82132,1.0,0.3941464285714286
58,stag-hunt,0.3,82142,1.0,0.3941464285714286
59,stag-hunt,0.3,82139,0.9999821428571429,0.3941419642857143
60,stag-hunt,0.5,82140,0.4855357142857143,0.47512008928571425
61,stag-hunt,0.5,82202,0.9081964285714287,0.4198785714285714
62,stag-hunt,0.5,82201,0.0,0.5380285714285714
63,stag-hunt,0.5,82209,0.513875,0.47143125
64,stag-hunt,0.5,82213,0.4971428571428572,0.47363214285714283
65,stag-hunt,0.7,82220,0.0,0.5380285714285714
66,stag-hunt,0.7,82222,0.0,0.5380285714285714
67,stag-hunt,0.7,82231,0.0,0.5380285714285714
68,stag-hunt,0.7,82239,0.0,0.5380285714285714
69,stag-hunt,0.7,82245,0.0,0.5380285714285714
70,stag-hunt,0.9,82251,0.0,0.5380285714285714
71,stag-hunt,0.9,82256,0.0,0.6520666666666667
9,prisoners-dilemma,0.3,81610,0.0,0.5191714285714285
