train_game,train_opponent,same_game_mean,same_game_sem,same_opp_mean,same_opp_sem,diff_both_mean,diff_both_sem
hawk-dove,0.1,0.405,0.0,0.7091999999999999,0.0,0.512,0.0
hawk-dove,0.3,0.45325000000000004,0.0,0.632,0.0,0.5313,0.0
hawk-dove,0.5,0.502125,0.0,0.5538000000000001,0.0,0.55085,0.0
hawk-dove,0.7,0.4573984375000001,0.0,0.2446,0.0,0.44245,0.0
hawk-dove,0.9,0.47671093750000004,0.0,0.07980000000000001,0.0,0.4836500000000001,0.0
prisoners-dilemma,0.1,0.5239999999999999,0.0,0.6990000000000002,0.0,0.45249999999999996,0.0
prisoners-dilemma,0.3,0.5625999999999999,,0.6025,,0.476625,
prisoners-dilemma,0.5,0.6016999999999999,0.0,0.50475,0.0,0.5010625,0.0
prisoners-dilemma,0.7,0.64245,0.0,0.402875,0.0,0.52653125,0.0
prisoners-dilemma,0.9,0.68365,0.0,0.299875,0.0,0.5522812500000001,0.0
stag-hunt,0.1,0.4050000000000001,0.0,0.562775,0.0,0.32243750000000004,0.0
stag-hunt,0.3,0.45325000000000004,0.0,0.46868750000000003,0.0,0.3459578125,1.5624999999963585e-06
stag-hunt,0.5,0.5006,0.0005262076883227874,0.470424375,0.026680628788300013,0.46442562499999995,0.026323779098615666
stag-hunt,0.7,0.5,0.0,0.37517500000000004,0.0,0.59775625,0.0
stag-hunt,0.9,0.5,,0.23478749999999998,0.045012500000000004,0.6853131250000001,0.041206874999999976
