model_id,train_game,train_opponent,seed,final_training_coop,mean_same_task_reward,mean_other_tasks_reward,cross_task_ratio
0,prisoners-dilemma,0.1,81523,0.0,0.5239999999999999,0.5018,0.9576335877862597
10,prisoners-dilemma,0.5,81626,0.0,0.6016999999999999,0.5018,0.8339704171514045
11,prisoners-dilemma,0.5,81627,0.0,0.6016999999999999,0.5018,0.8339704171514045
12,prisoners-dilemma,0.5,81639,0.0,0.6016999999999999,0.5018,0.8339704171514045
15,prisoners-dilemma,0.7,81651,0.0,0.64245,0.5018,0.7810724570005448
16,prisoners-dilemma,0.7,81711,0.0,0.64245,0.5018,0.7810724570005448
18,prisoners-dilemma,0.7,81712,0.0,0.64245,0.5018,0.7810724570005448
19,prisoners-dilemma,0.7,81719,0.0,0.64245,0.5018,0.7810724570005448
20,prisoners-dilemma,0.9,81729,0.0,0.68365,0.5018,0.7340013164631025
22,prisoners-dilemma,0.9,81747,0.0,0.68365,0.5018,0.7340013164631025
23,prisoners-dilemma,0.9,81751,0.0,0.68365,0.5018,0.7340013164631025
24,prisoners-dilemma,0.9,81748,0.0,0.68365,0.5018,0.7340013164631025
26,hawk-dove,0.1,81806,0.0,0.405,0.55144,1.3615802469135803
28,hawk-dove,0.1,81818,0.0,0.405,0.55144,1.3615802469135803
29,hawk-dove,0.1,81826,0.0,0.405,0.55144,1.3615802469135803
30,hawk-dove,0.3,81833,0.0,0.45325000000000004,0.55144,1.2166354109211253
31,hawk-dove,0.3,81838,0.0,0.45325000000000004,0.55144,1.2166354109211253
32,hawk-dove,0.3,81845,0.0,0.45325000000000004,0.55144,1.2166354109211253
33,hawk-dove,0.3,81854,0.0,0.45325000000000004,0.55144,1.2166354109211253
35,hawk-dove,0.5,81911,0.0,0.502125,0.55144,1.0982125964650236
36,hawk-dove,0.5,81911,0.0,0.502125,0.55144,1.0982125964650236
37,hawk-dove,0.5,81915,0.0,0.502125,0.55144,1.0982125964650236
38,hawk-dove,0.5,81923,0.0,0.502125,0.55144,1.0982125964650236
39,hawk-dove,0.5,81929,0.0,0.502125,0.55144,1.0982125964650236
3,prisoners-dilemma,0.1,81522,0.0,0.5239999999999999,0.5018,0.9576335877862597
40,hawk-dove,0.7,81936,1.0,0.4573984375000001,0.40288,0.8808075563222708
41,hawk-dove,0.7,81946,1.0,0.4573984375000001,0.40288,0.8808075563222708
43,hawk-dove,0.7,81957,1.0,0.4573984375000001,0.40288,0.8808075563222708
44,hawk-dove,0.7,82006,1.0,0.4573984375000001,0.40288,0.8808075563222708
45,hawk-dove,0.9,82007,1.0,0.47671093750000004,0.40288,0.8451243055441747
48,hawk-dove,0.9,82025,1.0,0.47671093750000004,0.40288,0.8451243055441747
49,hawk-dove,0.9,82035,1.0,0.47671093750000004,0.40288,0.8451243055441747
4,prisoners-dilemma,0.1,81543,0.0,0.5239999999999999,0.5018,0.9576335877862597
50,stag-hunt,0.1,82039,1.0,0.405,0.370505,0.9148271604938271
51,stag-hunt,0.1,82044,1.0,0.405,0.370505,0.9148271604938271
52,stag-hunt,0.1,82053,1.0,0.405,0.370505,0.9148271604938271
53,stag-hunt,0.1,82058,0.995,0.405,0.370505,0.9148271604938271
54,stag-hunt,0.1,82101,1.0,0.405,0.370505,0.9148271604938271
55,stag-hunt,0.3,82111,1.0,0.45325000000000004,0.370505,0.8174407060121345
56,stag-hunt,0.3,82118,1.0,0.45325000000000004,0.370505,0.8174407060121345
57,stag-hunt,0.3,82132,1.0,0.45325000000000004,0.370505,0.8174407060121345
58,stag-hunt,0.3,82142,0.995,0.45325000000000004,0.370505,0.8174407060121345
59,stag-hunt,0.3,82139,1.0,0.45325000000000004,0.37049875,0.8174269167126309
60,stag-hunt,0.5,82140,0.445,0.500375,0.465018125,0.9293392455658256
61,stag-hunt,0.5,82202,0.97,0.50265625,0.38676750000000004,0.7694473111594654
62,stag-hunt,0.5,82201,0.0,0.5,0.55324,1.10648
63,stag-hunt,0.5,82209,0.585,0.50025,0.45990374999999994,0.9193478260869564
64,stag-hunt,0.5,82213,0.53,0.49971875,0.46319750000000004,0.9269163904696393
65,stag-hunt,0.7,82220,0.0,0.5,0.55324,1.10648
66,stag-hunt,0.7,82222,0.0,0.5,0.55324,1.10648
67,stag-hunt,0.7,82231,0.0,0.5,0.55324,1.10648
68,stag-hunt,0.7,82239,0.0,0.5,0.55324,1.10648
69,stag-hunt,0.7,82245,0.0,0.5,0.55324,1.10648
70,stag-hunt,0.9,82251,0.0,0.5,0.55324,1.10648
71,stag-hunt,0.9,82256,0.0,,0.6520666666666667,
9,prisoners-dilemma,0.3,81610,0.0,0.5625999999999999,0.5018,0.891930323498045
