model_id,condition_id,train_game,seed,env_payoff_magnitude,env_round_magnitude,env_total,soc_opp_action,soc_agent_action,soc_agent_reward,soc_opp_reward,soc_total,social_ratio,var_env_payoff,var_env_round,var_soc_opp_action,var_soc_agent_action,var_soc_agent_reward,var_soc_opp_reward,var_env_total,var_soc_total,var_social_ratio,abl_env_payoff,abl_env_round,abl_soc_opp_action,abl_soc_agent_action,abl_soc_agent_reward,abl_soc_opp_reward
0,0,prisoners-dilemma,42,2.7628300189971924,2.771223545074463,5.534053564071655,2.9007325172424316,2.2496840953826904,2.6845221519470215,2.9522781372070312,10.787216901779175,0.6609299762754,0.042733363807201385,0.1597936451435089,0.7195821404457092,0.3318866193294525,0.09107012301683426,0.19822293519973755,0.2025270089507103,1.3407618179917336,0.868769211948514,2.3490308649343206e-06,4.319593244872522e-06,1.2761163816321641e-05,1.4549196691859834e-07,3.843304511974566e-06,1.640118171053473e-06
1,0,prisoners-dilemma,52,2.9268972873687744,2.231853723526001,5.158751010894775,3.1908047199249268,2.321502685546875,2.297569513320923,3.052619218826294,10.862496137619019,0.6780056531758001,0.03639482334256172,0.2291061282157898,0.6862936019897461,0.15516123175621033,0.09571807831525803,0.2880595922470093,0.2655009515583515,1.2252325043082237,0.821899112471442,1.0587639209802546e-08,-8.637505821695868e-09,5.622368348667806e-07,1.3726939585012587e-08,6.038931132934522e-09,7.137818158753362e-08
2,0,prisoners-dilemma,62,2.5191707611083984,2.913813352584839,5.432984113693237,2.863455057144165,2.469228982925415,2.8398947715759277,2.710667848587036,10.883246660232544,0.6670196573601154,0.04312978684902191,0.1491420418024063,0.8042734861373901,0.44821080565452576,0.34463417530059814,0.33408036828041077,0.19227182865142822,1.9311988353729248,0.9094539746138809,7.1417258773465164e-09,2.54359111551139e-08,3.421937222469751e-08,7.63968710515428e-09,6.587345779962561e-09,9.14788067518657e-09
3,0,prisoners-dilemma,72,2.458950996398926,2.846848249435425,5.305799245834351,2.669259548187256,2.69980525970459,2.753425121307373,2.339334726333618,10.461824655532837,0.6635003930189955,0.03033597208559513,0.4880812168121338,0.7758716344833374,0.046956464648246765,0.24558261036872864,0.2979961037635803,0.5184171888977289,1.3664068132638931,0.7249519380572516,1.6787192080869318e-08,1.0664165728258013e-07,9.858722478384152e-07,2.05373362760497e-09,2.9757979191913364e-08,3.088950251139977e-08
4,0,prisoners-dilemma,82,2.82297420501709,2.4738149642944336,5.296789169311523,2.6279194355010986,2.6725094318389893,2.896186590194702,2.897157907485962,11.093773365020752,0.6768390860157073,0.019646529108285904,0.1839790791273117,0.5841589570045471,0.09659622609615326,0.16946008801460266,0.32975953817367554,0.2036256082355976,1.1799748092889786,0.8528291798293125,2.224492412494783e-08,1.6411397041338205e-07,7.958265655361174e-07,5.263167324187634e-08,6.977017363851701e-08,1.2430841707100626e-06
5,1,hawk-dove,42,2.746335983276367,2.797822952270508,5.544158935546875,2.937784194946289,2.337238311767578,2.6709320545196533,2.9695539474487305,10.915508508682251,0.6631670138942755,0.07936739176511765,0.06658212095499039,0.5252652168273926,0.4037536084651947,0.607519268989563,0.10184738785028458,0.14594951272010803,1.6383854821324348,0.9182050942557626,4.373007698177389e-07,5.742650728279841e-07,3.9925675991980825e-06,1.4824389609202626e-06,3.881842851638794,6.538286470458843e-06
6,1,hawk-dove,52,2.918482780456543,2.39977765083313,5.318260431289673,3.2689104080200195,2.4348127841949463,2.290817975997925,3.0049195289611816,10.999460697174072,0.6740806887542165,0.04328097030520439,0.3006250262260437,0.5971515774726868,0.14551100134849548,0.4702567160129547,0.28046905994415283,0.3439059965312481,1.4933883547782898,0.8128193251744731,0.058128055185079575,0.015511772595345974,0.5863687992095947,0.0781531035900116,2.075171947479248,0.01604861207306385
7,1,hawk-dove,62,2.535351276397705,2.973456621170044,5.508807897567749,2.7502949237823486,2.4944710731506348,2.832933187484741,2.7013602256774902,10.779059410095215,0.6617845790666519,0.06585238128900528,0.13716009259223938,0.5875093340873718,0.26772913336753845,0.5949006676673889,0.2767418324947357,0.20301247388124466,1.726880967617035,0.8948063817846672,-1.1624578633018245e-08,-1.5331283464981027e-10,-8.904621040528582e-09,-3.905713086282958e-09,4.022830486297607,2.335050908186531e-08
8,1,hawk-dove,72,2.4616622924804688,2.917073965072632,5.378736257553101,2.6832010746002197,2.7366397380828857,2.786393642425537,2.3163678646087646,10.522602319717407,0.661743177694392,0.04135482758283615,0.2003021240234375,0.47128817439079285,0.22283583879470825,0.40622666478157043,0.30937787890434265,0.24165695160627365,1.4097285568714142,0.8536641199976118,0.00013011640112381428,0.026062995195388794,1.332636833190918,0.14240480959415436,1.983338475227356,0.008994474075734615
9,1,hawk-dove,82,2.84736704826355,2.561406373977661,5.408773422241211,2.5612223148345947,2.6981618404388428,2.916335105895996,2.872102975845337,11.04782223701477,0.6713309645425324,0.023529011756181717,0.1636066436767578,0.6468879580497742,0.10062521696090698,0.464675635099411,0.13034586608409882,0.18713565543293953,1.342534676194191,0.8776627541478949,0.1254701167345047,0.02620743215084076,1.1918349266052246,0.23281501233577728,2.040074348449707,0.050365205854177475
