model_id,train_game,seed,mean_cooperation,mean_normalized_reward
0,prisoners-dilemma,0,0.0,0.5580444444444446
6,hawk-dove,1,0.5539666666666666,0.49120111111111103
7,hawk-dove,2,0.6134666666666667,0.5104377777777779
8,hawk-dove,3,0.48033333333333333,0.49589000000000005
9,hawk-dove,4,0.38799999999999996,0.5029044444444445
10,stag-hunt,0,0.4693333333333333,0.5181766666666666
1,prisoners-dilemma,1,0.0,0.5580444444444446
11,stag-hunt,1,0.44523333333333337,0.5238633333333333
12,stag-hunt,2,0.0,0.5580444444444446
13,stag-hunt,3,0.0,0.5580444444444446
14,stag-hunt,4,0.0,0.5580444444444446
2,prisoners-dilemma,2,0.0,0.5580444444444446
3,prisoners-dilemma,3,0.0,0.5580444444444446
4,prisoners-dilemma,4,0.0,0.5580444444444446
5,hawk-dove,0,0.45883333333333337,0.5024444444444444
